-197310.63	1

-190567.76	16

-183824.48	8
-183824.57	8
-183824.49	8
-183823.97	16
-183824.52	16
-183824.50	64

-177081.00	16
-177080.78	16
-177081.18	16
-177081.33	64
-177080.93	32
-177081.43	64
-177080.78	32
-177081.48	64
-177081.34	128
-177081.38	128

-170337.98	4
-170337.76	32
-170337.84	32
-170337.98	128
-170337.98	4
-170337.77	16
-170337.69	16
-170337.87	128
-170337.66	4
-170337.85	128
-170338.23	16
-170338.33	32
-170337.87	32
-170337.93	64
-170337.94	64
-170338.01	8
-170337.73	16
-170338.05	256
-170338.46	16
-170338.01	32
-170338.02	64
-170338.01	64
-170337.97	8
-170337.93	256
-170337.82	16
-170337.69	64
-170337.85	64
-170337.74	32
-170337.92	32
-170337.89	64
-170338.09	64
-170337.90	32
-170338.06	32

-163595.14	16
-163595.14	32
-163595.17	16
-163595.14	32
-163595.18	32
-163595.07	256
-163595.16	16
-163595.06	256
-163595.17	64
-163595.22	64
-163595.29	64
-163595.09	128
-163595.06	128
-163595.11	32
-163595.07	128
-163595.14	128
-163594.97	64
-163595.08	64
-163595.10	64
-163595.07	128
-163595.07	128
-163595.00	32
-163594.95	64
-163595.02	64
-163594.99	64
-163594.94	128
-163595.03	128
-163595.06	128
-163595.07	128
-163595.14	64
-163595.11	128
-163595.21	128
-163595.10	128
-163595.10	128
-163595.29	128
-163595.03	128
-163595.20	128
-163595.10	128
-163595.14	64
-163595.01	128
-163594.99	128
-163595.01	128
-163595.08	128
-163595.06	128

-156852.36	8
-156852.38	8
-156852.38	8
-156852.26	128
-156852.28	16
-156852.01	16
-156852.17	16
-156852.19	32
-156852.02	32
-156852.38	16
-156852.37	128
-156852.34	16
-156852.25	256
-156852.35	256
-156852.23	128
-156852.17	128
-156852.33	128
-156852.34	128
-156852.32	128
-156852.26	128
-156852.30	128
-156852.32	128
-156852.12	128
-156852.14	128
-156852.29	128
-156852.32	128
-156852.26	128
-156852.23	128
-156852.19	128
-156852.17	64
-156852.27	128
-156852.19	128
-156852.14	256
-156852.32	256
-156852.20	16
-156852.45	16
-156852.26	16
-156852.39	32
-156852.35	32
-156852.26	64
-156852.27	64
-156852.32	64
-156852.26	128
-156852.34	128
-156852.26	64
-156852.24	64
-156852.32	64
-156852.32	128
-156852.26	128
-156852.30	64
-156852.24	128
-156852.34	256
-156852.30	256
-156852.32	16
-156852.21	16
-156852.28	16
-156852.25	32
-156852.36	32
-156852.24	64
-156852.17	256
-156852.25	256
-156852.04	32
-156852.26	64
-156852.25	32
-156852.30	32
-156852.20	32
-156852.20	32
