'y-axis saved as y
'x,ear_i_0fillin_inbi_032821.xy,Bkg,Ycalc,Diff,Structure
3.375,322,0,0,0,0
3.39,327,0,0,0,0
3.405,318,0,0,0,0
3.42,303,0,0,0,0
3.435,318,0,0,0,0
3.45,297,0,0,0,0
3.465,356,0,0,0,0
3.48,343,0,0,0,0
3.495,314,0,0,0,0
3.51,291,0,0,0,0
3.525,283,0,0,0,0
3.54,283,0,0,0,0
3.555,273,0,0,0,0
3.57,301,0,0,0,0
3.585,335,0,0,0,0
3.6,302,0,0,0,0
3.615,304,0,0,0,0
3.63,308,0,0,0,0
3.645,323,0,0,0,0
3.66,296,0,0,0,0
3.675,284,0,0,0,0
3.69,289,0,0,0,0
3.705,310,0,0,0,0
3.72,346,0,0,0,0
3.735,281,0,0,0,0
3.75,280,0,0,0,0
3.765,304,0,0,0,0
3.78,277,0,0,0,0
3.795,298,0,0,0,0
3.81,324,0,0,0,0
3.825,276,0,0,0,0
3.84,297,0,0,0,0
3.855,281,0,0,0,0
3.87,288,0,0,0,0
3.885,287,0,0,0,0
3.9,297,0,0,0,0
3.915,329,0,0,0,0
3.93,288,0,0,0,0
3.945,288,0,0,0,0
3.96,275,0,0,0,0
3.975,281,0,0,0,0
3.99,282,0,0,0,0
4.005,267,278.123759,278.123759,-11.1237593,0
4.02,273,277.985808,277.985808,-4.98580807,0
4.035,277,277.847838,277.847838,-0.847838271,0
4.05,290,277.70985,277.70985,12.29015,0
4.065,315,277.571843,277.571843,37.4281566,0
4.08,288,277.433819,277.433819,10.5661815,0
4.095,295,277.295776,277.295776,17.7042244,0
4.11,273,277.157715,277.157715,-4.15771459,0
4.125,291,277.019636,277.019636,13.9803643,0
4.14,287,276.881539,276.881539,10.1184609,0
4.155,284,276.743425,276.743425,7.2565751,0
4.17,297,276.605293,276.605293,20.3947069,0
4.185,297,276.467144,276.467144,20.532856,0
4.2,302,276.328977,276.328977,25.6710225,0
4.215,317,276.190794,276.190794,40.8092061,0
4.23,310,276.052593,276.052593,33.9474068,0
4.245,304,275.914376,275.914376,28.0856245,0
4.26,313,275.776141,275.776141,37.2238589,0
4.275,292,275.63789,275.63789,16.3621101,0
4.29,288,275.499622,275.499622,12.5003778,0
4.305,283,275.361338,275.361338,7.63866203,0
4.32,293,275.223037,275.223037,17.7769626,0
